Task_id,1,1,2,2,1,2,1,2
Metric,Speedup,Efficiency,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Sequential Fraction,Sequential Fraction
"nodes = 2, thread = 2",1.493504117,0.373376029,1.528956333,0.382239083,13698,7979,0.55942171,0.538721221
"nodes = 2, thread = 4",1.465613216,0.183201652,1.53992514,0.192490643,36390,20711,0.636923723,0.599293961
"nodes = 2, thread = 8",1.468249685,0.091765605,1.544260244,0.096516265,80782,46215,0.659821939,0.624063196
"nodes = 4, thread = 2",1.918664786,0.239833098,1.932289628,0.241536204,25870,15503,0.452795183,0.448595156
"nodes = 4, thread = 4",1.968644477,0.12304028,1.881478659,0.117592416,58174,37047,0.475161317,0.500263318
"nodes = 4, thread = 8",2.030348259,0.063448383,1.875047474,0.058595234,120478,79319,0.476156224,0.518265631
"nodes = 8, thread = 2",2.553018455,0.159563653,2.798752834,0.174922052,42990,23287,0.351139427,0.314455472
"nodes = 8, thread = 4",2.881044829,0.090032651,2.694868996,0.084214656,82494,53687,0.32603489,0.350787667
"nodes = 8, thread = 8",2.68752058,0.041992509,2.598421053,0.040600329,186206,116663,0.362123351,0.375084799
